jobid, gpu type, walltime (s)
562a7f3c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
565d65a06d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
5697a3646d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
56c8aa0e6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
5700817c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
5735dfca6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
576f157e6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
57a8997a6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
57dfdf706d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
5812784a6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
583e84446d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
58779cf26d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
58af86d06d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
58e4eb9a6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
5917c7366d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
5951a24e6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
5989278c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
59c1b1ba6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
59eece346d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
5a23a8026d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
5a5248066d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
5adf62726d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
5b194f326d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
5b56053a6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1152
5b8f4ca06d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
5bd82f1a6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
5c0eb9406d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
5c40108a6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
5c738c946d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
5cac7fae6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
da53a4f06d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
da8c980a6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
dabcd4e86d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
daebae946d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1584
db2719e86d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
db5b1e3c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
db8ed48e6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
dbc3969c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
dbf57bd06d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
dc2a69266d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
dc55a3166d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
dc7feeaa6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 2088
dcab6f626d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
dcd85b1c6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
dd0435e86d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
dd39de146d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
dd6045906d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
dd8c44386d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
ddb738e66d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
