Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       PID/Program name    
tcp        0      0 172.31.16.161:9618      172.31.8.199:45671      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.205:35548     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.77.173:45720     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.3.60:37255       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.204:46321     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.5.234:42906      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.4.62:43488       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.15.244:35663     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.4.44:37890       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.37:33449      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.79:34165      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.77.173:33853     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.147:42739      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.4.131:43145      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.72.2:35060       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.0.104:35893      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.169:34824     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.170:45681     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.72.252:33808     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.71.65:38594      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.109:37071     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.74.88:38396      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.203:39811     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.0.11:43663       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.181:45251     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.58:37452      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.9.233:46848      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.198:39084     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.5.247:39135      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.169:34107     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.66.31:39662      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.192:40548     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.68.206:41484     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.112:45030      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.74.167:34184     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.150:37181     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.1.85:36944       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.5.243:36500      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.37:36756       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.9:37047       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.208:41013     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.74.18:41814      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.0.86:35832       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.74.179:43374     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.75.91:46243      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.76.205:42145     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.74.75:44246      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.192:39372     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.217:39110     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.19:34371       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:18206     172.31.16.161:9618      ESTABLISHED 2482/condor_negotia 
tcp        0      0 172.31.16.161:9618      172.31.9.62:38362       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.46:40031      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.74.179:44948     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.86:40599      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.172:45072      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.14:33751      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.77.125:46077     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.3.151:45609      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.121:42226     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.3.60:33223       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.13.204:34653     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.233:43757     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.103:43643     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.157:39187     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.185:43351     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.66.99:38009      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.0:39594       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.7.19:42584       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.5.141:35252      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.250:38731     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.65.95:36127      ESTABLISHED 2481/condor_collect 
