#GPU, mean, median
#A100-SXM4-40GB MIG 1g.5gb, 1470, 1404
#A100-SXM4-40GB MIG 2g.10gb, 1100, 1044
#A100-SXM4-40GB MIG 3g.20gb, 1061, 972
#A100-SXM4-40GB MIG 7g.40gb, 977, 900
#GPU, walltime
A100-SXM4-40GB MIG 1g.5gb, 1836
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 1332
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 2736
A100-SXM4-40GB MIG 1g.5gb, 2772
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 2376
A100-SXM4-40GB MIG 1g.5gb, 2592
A100-SXM4-40GB MIG 1g.5gb, 2772
A100-SXM4-40GB MIG 1g.5gb, 1368
A100-SXM4-40GB MIG 1g.5gb, 2736
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 1620
A100-SXM4-40GB MIG 1g.5gb, 2736
A100-SXM4-40GB MIG 1g.5gb, 3348
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 1584
A100-SXM4-40GB MIG 1g.5gb, 2484
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 2736
A100-SXM4-40GB MIG 1g.5gb, 2520
A100-SXM4-40GB MIG 1g.5gb, 2520
A100-SXM4-40GB MIG 1g.5gb, 1440
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 2520
A100-SXM4-40GB MIG 1g.5gb, 2484
A100-SXM4-40GB MIG 1g.5gb, 1944
A100-SXM4-40GB MIG 1g.5gb, 3852
A100-SXM4-40GB MIG 1g.5gb, 3996
A100-SXM4-40GB MIG 1g.5gb, 3960
A100-SXM4-40GB MIG 1g.5gb, 3456
A100-SXM4-40GB MIG 1g.5gb, 3420
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 3384
A100-SXM4-40GB MIG 1g.5gb, 3384
A100-SXM4-40GB MIG 1g.5gb, 3384
A100-SXM4-40GB MIG 1g.5gb, 1188
A100-SXM4-40GB MIG 1g.5gb, 3348
A100-SXM4-40GB MIG 1g.5gb, 3456
A100-SXM4-40GB MIG 1g.5gb, 1224
A100-SXM4-40GB MIG 1g.5gb, 3312
A100-SXM4-40GB MIG 1g.5gb, 1548
A100-SXM4-40GB MIG 1g.5gb, 3384
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 2340
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 1764
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 2304
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 2268
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 2232
A100-SXM4-40GB MIG 1g.5gb, 2196
A100-SXM4-40GB MIG 1g.5gb, 1476
A100-SXM4-40GB MIG 1g.5gb, 1836
A100-SXM4-40GB MIG 1g.5gb, 1548
