jobid, request_cpu, used_cpu, gpu type, gpu id, gpu memory, host, walltime (s), completion date
4bbee7546d8111ec934d141877284d92, 2, 1.24, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, , slot1_1@glidein_297_81345004@osg-wn-61f12860-000018-8qhtb, 1260, 2022-02-09T21:39:15.260041
4befa48e6d8111eca422141877284d92, 2, 1.26, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_429177775@osg-wn-61f12860-000016-j4ktl, 1332, 2022-02-09T21:47:35.120709
4c2847b26d8111ec83fa141877284d92, 2, 1.34, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/7/0, , slot1_1@glidein_289_465872650@osg-wn-61f12860-00001b-98crx, 1440, 2022-02-09T21:53:11.729361
4c5c6a746d8111ec83fa141877284d92, 2, 1.29, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/14/0, , slot1_1@glidein_302_692104659@osg-wn-61f12860-000019-lwkbg, 1440, 2022-02-09T21:53:11.746351
4c8c2dcc6d8111eca422141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/12/0, , slot1_1@glidein_298_164531780@osg-wn-61f12860-00001a-hw9f9, 1152, 2022-02-09T21:47:35.131050
4cd293986d8111eca422141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/11/0, , slot1_1@glidein_296_162638964@osg-wn-61f12860-00001c-zjlkx, 1512, 2022-02-09T21:58:53.984692
4d05e68a6d8111eca4d7141877284d92, 2, 1.32, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/8/0, , slot1_1@glidein_293_33319435@osg-wn-61f12860-00001d-w8pcj, 2304, 2022-02-09T22:07:28.515093
4d3f308e6d8111ec9af0141877284d92, 2, 1.23, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, , slot1_1@glidein_352_733968540@osg-wn-61f12860-000013-cm7wc, 1908, 2022-02-09T22:10:16.440315
4d73c0a66d8111eca422141877284d92, 2, 1.24, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, , slot1_1@glidein_297_81345004@osg-wn-61f12860-000018-8qhtb, 1800, 2022-02-09T22:10:16.537422
4dad61da6d8111eca422141877284d92, 2, 1.31, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_299_41758333@osg-wn-61f12860-000015-6mdq9, 1476, 2022-02-09T22:10:16.458473
4de794226d8111ec83fa141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, , slot1_1@glidein_294_904365280@osg-wn-61f12860-000017-ldvhh, 1620, 2022-02-09T22:10:16.429677
4e1aaef26d8111ec9af0141877284d92, 2, 1.3, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_429177775@osg-wn-61f12860-000016-j4ktl, 1692, 2022-02-09T22:13:05.419145
4e540ca66d8111eca422141877284d92, 2, 1.21, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/7/0, , slot1_1@glidein_289_465872650@osg-wn-61f12860-00001b-98crx, 1296, 2022-02-09T22:13:05.514896
4e8d8cce6d8111eca422141877284d92, 2, 1.21, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/12/0, , slot1_1@glidein_298_164531780@osg-wn-61f12860-00001a-hw9f9, 1584, 2022-02-09T22:13:05.478269
4ebd4e6e6d8111ec83fa141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/11/0, , slot1_1@glidein_299_102137563@osg-wn-61f12860-00001a-t8qbb, 2304, 2022-02-09T23:34:36.291251
4eef56f26d8111eca4d7141877284d92, 2, 1.22, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/13/0, , slot1_1@glidein_302_159036897@osg-wn-61f12860-00001c-fpfrv, 1404, 2022-02-09T23:29:02.080311
4f2b579c6d8111ec934d141877284d92, 2, 1.29, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, , slot1_1@glidein_295_38815520@osg-wn-61f12860-00001d-69gxf, 1224, 2022-02-09T23:29:02.070350
4f6320826d8111eca4d7141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, , slot1_1@glidein_297_81345004@osg-wn-61f12860-000018-8qhtb, 2304, 2022-02-09T22:46:49.468108
4f9904186d8111eca422141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, , slot1_1@glidein_294_77884401@osg-wn-61f12860-000027-6959f, 2304, 2022-02-09T23:56:58.627708
4fd345e26d8111ec9af0141877284d92, 2, 1.34, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_426155550@osg-wn-61f12860-000024-mgdzm, 1404, 2022-02-09T23:37:24.144745
