jobid, request_cpu, used_cpu, gpu type, gpu id, gpu memory, host, walltime (s), completion date
c1b62e209a6511ecb80b141877284d92, 2, 1.97, NVIDIA GeForce RTX 2080 Ti, GPU-70d155a4, 11019, osg-wn-621fba4c-000083--1-rtvwj.k8s-haosu-20-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6084, 2022-03-03T13:29:48.101032
c1d5e2a69a6511ecb80b141877284d92, 2, 1.8, NVIDIA GeForce RTX 2080 Ti, GPU-3811a15e, 11019, osg-wn-621fba4c-000082--1-2gdnr.k8s-haosu-06-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6120, 2022-03-03T13:45:04.269987
c1ecf6e49a6511ecb45b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-e7ea0e2a, 11019, osg-wn-621fba4c-000075--1-rpkdp.k8s-haosu-21-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6840, 2022-03-03T11:16:51.613738
c206ebb29a6511ecb80b141877284d92, 2, 1.91, NVIDIA GeForce RTX 2080 Ti, GPU-064f54c4, 11019, osg-wn-621fba4c-00007f--1-mnpcq.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6336, 2022-03-03T13:27:14.333847
c21e99389a6511ecb80b141877284d92, 2, 1.77, NVIDIA GeForce GTX 1080 Ti, GPU-202e2107, 11178, osg-wn-621fba4c-0000cc--1-5kchx.k8s-bharadia-03-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 8856, 2022-03-03T21:54:33.221403
c23f2dc49a6511ec8006141877284d92, 2, 2.12, NVIDIA GeForce RTX 2080 Ti, GPU-b8e19c5d, 11019, osg-wn-621fba4c-000093--1-qnkfg.k8s-haosu-21-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T16:08:27.832244
c2595e6a9a6511ecb45b141877284d92, 2, 1.31, NVIDIA GeForce GTX 1080 Ti, GPU-52853fc3, 11178, osg-wn-621fba4c-000084--1-djxzg.k8s-gpu-2-ucsc-edu.osg-icecube.nrp-nautilus.io, 8820, 2022-03-03T14:28:23.301273
c27463049a6511ecb45b141877284d92, 2, 1.9, NVIDIA GeForce RTX 2080 Ti, GPU-ed9f150f, 11019, osg-wn-621fba4c-000138--1-npxv2.k8s-haosu-15-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6336, 2022-03-04T04:29:31.846693
c28cad249a6511ecb45b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-2be99f48, 11019, osg-wn-621fba4c-000075--1-jn8j6.k8s-haosu-19-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T11:09:13.054857
c2a766be9a6511ecb80b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-ebb74120, 11019, osg-wn-621fba4c-000075--1-lx8gj.k8s-haosu-16-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 5904, 2022-03-03T11:09:12.952884
c2c0e6529a6511ecb80b141877284d92, 2, 1.95, NVIDIA GeForce RTX 2080 Ti, GPU-49e623e9, 11019, osg-wn-621fba4c-000087--1-blz7l.k8s-haosu-05-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6372, 2022-03-03T13:52:42.275814
c2d8bf7a9a6511ecb45b141877284d92, 2, 1.6, NVIDIA GeForce RTX 2080 Ti, GPU-e4544ed2, 11019, osg-wn-621fba4c-00007a--1-q52sr.k8s-haosu-10-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6336, 2022-03-03T11:22:00.725647
c2f381d49a6511ecb80b141877284d92, 2, 1.86, NVIDIA GeForce RTX 2080 Ti, GPU-49e623e9, 11019, osg-wn-621fba4c-0000a0--1-fczvz.k8s-haosu-05-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T16:21:20.180684
c30ead389a6511ecb45b141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-283ddd24, 11019, osg-wn-621fba4c-0000a0--1-pdwmt.k8s-chase-ci-10-calit2-optiputer-net.osg-icecube.nrp-nautilus.io, 6732, 2022-03-03T17:02:24.546590
c32843d89a6511ec8cfe141877284d92, 2, 1.86, NVIDIA GeForce RTX 2080 Ti, GPU-bd9ce036, 11019, osg-wn-621fba4c-000086--1-lm8qn.k8s-haosu-08-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6588, 2022-03-03T13:52:42.211912
c342c74e9a6511ecb45b141877284d92, 2, 1.79, NVIDIA GeForce RTX 2080 Ti, GPU-32f57405, 11019, osg-wn-621fba4c-00015b--1-9tbwd.k8s-haosu-18-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6228, 2022-03-04T05:56:52.079882
c35d42cc9a6511ecb80b141877284d92, 2, 1.95, NVIDIA GeForce RTX 2080 Ti, GPU-49e623e9, 11019, osg-wn-621fba4c-000075--1-665ml.k8s-haosu-05-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T11:16:51.630726
c37c8e209a6511eca198141877284d92, 2, 1.32, NVIDIA GeForce GTX 1080 Ti, GPU-2187120a, 11178, osg-wn-621fba4c-000138--1-s5nvs.k8s-gpu-2-ucsc-edu.osg-icecube.nrp-nautilus.io, 8928, 2022-03-04T05:15:46.964245
c395cef89a6511ecb45b141877284d92, 2, 1.56, NVIDIA GeForce RTX 2080 Ti, GPU-e4544ed2, 11019, osg-wn-621fba4c-000088--1-jd5jz.k8s-haosu-10-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6372, 2022-03-03T13:52:42.265864
c3b1cacc9a6511ecb80b141877284d92, 2, 1.87, NVIDIA GeForce RTX 2080 Ti, GPU-0d1db17e, 11019, osg-wn-621fba4c-000093--1-v5mqz.k8s-haosu-05-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6300, 2022-03-03T16:08:27.868850
c3cbef2e9a6511ec8cfe141877284d92, 2, 1.83, NVIDIA GeForce RTX 2080 Ti, GPU-eb1d7524, 11019, osg-wn-621fba4c-00009c--1-qgglf.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6264, 2022-03-03T16:08:27.846516
c3e885da9a6511eca198141877284d92, 2, 2.24, NVIDIA GeForce RTX 2080 Ti, GPU-ebb74120, 11019, osg-wn-621fba4c-000078--1-hrjp4.k8s-haosu-16-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6012, 2022-03-03T13:04:14.469982
c40422909a6511ec8cfe141877284d92, 2, 1.9, NVIDIA GeForce RTX 2080 Ti, GPU-0473c82d, 11019, osg-wn-621fba4c-000155--1-xh6fl.k8s-haosu-08-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6156, 2022-03-04T06:15:43.317525
c4233ab89a6511ecb45b141877284d92, 2, 1.94, NVIDIA GeForce RTX 2080 Ti, GPU-d6139435, 11019, osg-wn-621fba4c-00007d--1-b5gnh.k8s-haosu-07-sdsc-optiputer-net.osg-icecube.nrp-nautilus.io, 6192, 2022-03-03T11:32:10.599614
